Youtuber,subscribers,video views,uploads,category,Country,Abbreviation,lowest_monthly_earnings,highest_monthly_earnings,lowest_yearly_earnings,highest_yearly_earnings,Gross tertiary education enrollment (%),Unemployment rate,Population,Urban_population,created_year,average_yearly_earnings,average_monthly_earnings
Avicii,20600000,10292874715.0,156,Music,Sweden,SE,20300.0,324900.0,243700.0,3900000.0,67.0,6.48,10285453.0,9021165.0,2009.0,2071850.0,172600.0
Mnet K-POP,20500000,15038593883.0,33229,Entertainment,South Korea,KR,39600.0,634200.0,475600.0,7600000.0,94.3,4.15,51709098.0,42106719.0,2006.0,4037800.0,336900.0
LazarBeam,20500000,8768697257.0,1323,Gaming,Australia,AU,6500.0,104300.0,78200.0,1300000.0,113.1,5.27,25766605.0,21844756.0,2015.0,689100.0,55400.0
Ninja Kidz TV,20500000,11009148579.0,296,Entertainment,United States,US,48800.0,780800.0,585600.0,9400000.0,88.2,14.7,328239523.0,270663028.0,2017.0,4992800.0,414800.0
Totoy kids - Portuguï¿½,20400000,1796227417.0,206,Film & Animation,Brazil,BR,9900.0,158000.0,118500.0,1900000.0,51.3,12.08,212559417.0,183241641.0,2014.0,1009250.0,83950.0
Jake Paul,20400000,7311322368.0,1006,People & Blogs,United States,US,3700.0,58600.0,43900.0,703000.0,88.2,14.7,328239523.0,270663028.0,2013.0,373450.0,31150.0
Linkin Park,20400000,13397000296.0,0,Music,Afghanistan,AF,0.0,0.0,0.0,0.0,9.7,11.12,38041754.0,9797273.0,2006.0,0.0,0.0
Vijay Television,20400000,29406206620.0,51515,Entertainment,India,IN,226900.0,3600000.0,2700000.0,43600000.0,28.1,5.36,1366417754.0,471031528.0,2007.0,23150000.0,1913450.0
SlivkiShow,20400000,4707412332.0,462,Entertainment,Ukraine,UA,7200.0,116000.0,87000.0,1400000.0,82.7,8.88,44385155.0,30835699.0,2012.0,743500.0,61600.0
Emiway Bantai,20400000,3579555124.0,239,Music,India,IN,10300.0,165200.0,123900.0,2000000.0,28.1,5.36,1366417754.0,471031528.0,2013.0,1061950.0,87750.0
Got Talent Global,20300000,2441288701.0,1245,Entertainment,United Kingdom,GB,21600.0,345800.0,259400.0,4100000.0,60.0,3.85,66834405.0,55908316.0,2013.0,2179700.0,183700.0
BabyBus - Cerita & Lagu Anak-anak,20300000,11819051552.0,875,Education,Indonesia,ID,28200.0,451100.0,338300.0,5400000.0,36.3,4.69,270203917.0,151509724.0,2019.0,2869150.0,239650.0
Ami Rodriguez,20200000,2951914200.0,460,Entertainment,Colombia,CO,66000.0,1100000.0,791600.0,12700000.0,55.3,9.71,50339443.0,40827302.0,2009.0,6745800.0,583000.0
Noor Stars,20200000,2764127969.0,693,Comedy,United Arab Emirates,AE,3900.0,62200.0,46700.0,746700.0,36.8,2.35,9770529.0,8479744.0,2014.0,396700.0,33050.0
Kiddiestv Hindi - Nursery Rhymes & Kids Songs,20200000,7274150246.0,226,Education,India,IN,28400.0,453700.0,340300.0,5400000.0,28.1,5.36,1366417754.0,471031528.0,2017.0,2870150.0,241050.0
dednahype,20200000,20919403720.0,1935,Comedy,Latvia,LV,311200.0,5000000.0,3700000.0,59800000.0,88.1,6.52,1912789.0,1304943.0,2020.0,31750000.0,2655600.0
Marta and Rustam,20200000,19694265358.0,761,Comedy,United States,US,113100.0,1800000.0,1400000.0,21700000.0,88.2,14.7,328239523.0,270663028.0,2021.0,11550000.0,956550.0
MiawAug,20200000,6098644584.0,3713,Gaming,Indonesia,ID,16100.0,258000.0,193500.0,3100000.0,36.3,4.69,270203917.0,151509724.0,2014.0,1646750.0,137050.0
CookieSwirlC,20100000,23353115850.0,3774,Entertainment,United States,US,55400.0,886800.0,665100.0,10600000.0,88.2,14.7,328239523.0,270663028.0,2013.0,5632550.0,471100.0
Skrillex,20100000,6618524158.0,241,Music,United States,US,6300.0,101100.0,75800.0,1200000.0,88.2,14.7,328239523.0,270663028.0,2010.0,637900.0,53700.0
AuthenticGames,20100000,8920141342.0,4974,Gaming,Brazil,BR,1400.0,21700.0,16300.0,260200.0,51.3,12.08,212559417.0,183241641.0,2011.0,138250.0,11550.0
Pencilmation,20100000,11317309935.0,1481,Film & Animation,United States,US,3700.0,59400.0,44600.0,713400.0,88.2,14.7,328239523.0,270663028.0,2007.0,379000.0,31550.0
7clouds,20100000,14816075927.0,2384,Music,United States,US,69200.0,1100000.0,830300.0,13300000.0,88.2,14.7,328239523.0,270663028.0,2013.0,7065150.0,584600.0
5-Minute Crafts PLAY,20100000,6119294270.0,5491,Howto & Style,United States,US,26400.0,423100.0,317400.0,5100000.0,88.2,14.7,328239523.0,270663028.0,2017.0,2708700.0,224750.0
Marvel Entertainment,20100000,5634695322.0,1,Entertainment,United States,US,0.02,0.25,0.19,3.0,88.2,14.7,328239523.0,270663028.0,2011.0,1.595,0.135
BuzzFeedVideo,20100000,17913237851.0,7737,People & Blogs,United States,US,2300.0,36400.0,27300.0,437400.0,88.2,14.7,328239523.0,270663028.0,2011.0,232350.0,19350.0
REACT,20000000,13154314376.0,4339,Entertainment,United States,US,5800.0,92800.0,69600.0,1100000.0,88.2,14.7,328239523.0,270663028.0,2007.0,584800.0,49300.0
Vevo,20000000,559765455.0,1527,Music,United States,US,333.0,5300.0,4000.0,63900.0,88.2,14.7,328239523.0,270663028.0,2006.0,33950.0,2816.5
Gordon Ramsay,20000000,3875172235.0,1527,Entertainment,United Kingdom,GB,9800.0,156900.0,117700.0,1900000.0,60.0,3.85,66834405.0,55908316.0,2006.0,1008850.0,83350.0
Pentatonix,20000000,6033295543.0,1,Music,Canada,CA,0.0,0.0,0.0,0.0,68.9,5.56,36991981.0,30628482.0,2006.0,0.0,0.0
Green Gold TV - Official Channel,20000000,9715291883.0,1476,Film & Animation,India,IN,0.0,0.0,0.0,0.0,28.1,5.36,1366417754.0,471031528.0,2011.0,0.0,0.0
Gusttavo Lima Oficial,19900000,13917423958.0,416,Music,Brazil,BR,53700.0,859200.0,644400.0,10300000.0,51.3,12.08,212559417.0,183241641.0,2010.0,5472200.0,456450.0
HaerteTest,19800000,3234880084.0,1411,Science & Technology,Germany,DE,1400.0,22600.0,17000.0,271200.0,70.2,3.04,83132799.0,64324835.0,2011.0,144100.0,12000.0
Crafty Panda,19800000,5759442450.0,760,People & Blogs,United States,US,1500.0,24500.0,18400.0,294600.0,88.2,14.7,328239523.0,270663028.0,2017.0,156500.0,13000.0
SOMOY TV,19800000,12293479945.0,9930,News & Politics,United States,US,4.0,65.0,49.0,779.0,88.2,14.7,328239523.0,270663028.0,2013.0,414.0,34.5
JennaMarbles,19700000,1803249241.0,250,Comedy,United States,US,942.0,15100.0,11300.0,180900.0,88.2,14.7,328239523.0,270663028.0,2010.0,96100.0,8021.0
Official Pink Panther,19700000,10955619815.0,1,Film & Animation,United States,US,0.0,0.0,0.0,0.0,88.2,14.7,328239523.0,270663028.0,2011.0,0.0,0.0
Britain's Got Talent,19700000,11323617496.0,4225,Entertainment,United Kingdom,GB,13500.0,216800.0,162600.0,2600000.0,60.0,3.85,66834405.0,55908316.0,2008.0,1381300.0,115150.0
SCTV,19700000,9808676159.0,267,Entertainment,United Kingdom,GB,0.08,1.0,1.0,16.0,60.0,3.85,66834405.0,55908316.0,2006.0,8.5,0.54
AS Gaming,19600000,2851024430.0,17,Gaming,United States,US,0.01,0.09,0.07,1.0,88.2,14.7,328239523.0,270663028.0,2009.0,0.535,0.049999999999999996
Sony AATH,19600000,13930021471.0,18661,Shows,United States,US,68600.0,1100000.0,822600.0,13200000.0,88.2,14.7,328239523.0,270663028.0,2013.0,7011300.0,584300.0
tabii Urdu,19600000,8779729549.0,1306,Entertainment,Turkey,TR,27700.0,443200.0,332400.0,5300000.0,23.9,13.49,83429615.0,63097818.0,2020.0,2816200.0,235450.0
DaFuq!?Boom!,19600000,7906181776.0,214,Film & Animation,United States,US,576000.0,9200000.0,6900000.0,110600000.0,88.2,14.7,328239523.0,270663028.0,2016.0,58750000.0,4888000.0
Clash of Clans,19600000,3961318438.0,674,Gaming,United States,US,5600.0,89200.0,66900.0,1100000.0,88.2,14.7,328239523.0,270663028.0,2013.0,583450.0,47400.0
RKD Studios,19500000,5234251168.0,847,Entertainment,India,IN,0.0,0.0,0.0,0.0,28.1,5.36,1366417754.0,471031528.0,2014.0,0.0,0.0
DLS News,19400000,2255542592.0,4750,News & Politics,India,IN,8000.0,128400.0,96300.0,1500000.0,28.1,5.36,1366417754.0,471031528.0,2017.0,798150.0,68200.0
JukiLop,19400000,1577859332.0,85,People & Blogs,Mexico,MX,595.0,9500.0,7100.0,114300.0,40.2,3.42,126014024.0,102626859.0,2017.0,60700.0,5047.5
etvteluguindia,19400000,23038014291.0,125974,Entertainment,India,IN,68200.0,1100000.0,818800.0,13100000.0,28.1,5.36,1366417754.0,471031528.0,2010.0,6959400.0,584100.0
FIFA,19400000,5529131886.0,10728,Sports,Switzerland,CH,14700.0,235500.0,176600.0,2800000.0,59.6,4.58,8574832.0,6332428.0,2006.0,1488300.0,125100.0
shane,19200000,4329121104.0,570,People & Blogs,United States,US,683.0,10900.0,8200.0,131100.0,88.2,14.7,328239523.0,270663028.0,2005.0,69650.0,5791.5
Sonotek,19200000,7590582024.0,8285,Entertainment,India,IN,7200.0,114700.0,86000.0,1400000.0,28.1,5.36,1366417754.0,471031528.0,2011.0,743000.0,60950.0
Jimmy Kimmel Live,19100000,13124645973.0,6526,Entertainment,United States,US,4300.0,69000.0,51700.0,827600.0,88.2,14.7,328239523.0,270663028.0,2006.0,439650.0,36650.0
TheOdd1sOut,19100000,4566120190.0,139,Comedy,United States,US,7700.0,123900.0,93000.0,1500000.0,88.2,14.7,328239523.0,270663028.0,2014.0,796500.0,65800.0
ýýýýýýýýýýýýýý ýýýý,19000000,4924054368.0,60,Education,United States,US,5400.0,86300.0,64800.0,1000000.0,88.2,14.7,328239523.0,270663028.0,2018.0,532400.0,45850.0
SUPER SLICK SLIME SAM,19000000,7229175322.0,903,Howto & Style,Mexico,MX,30800.0,493400.0,370000.0,5900000.0,40.2,3.42,126014024.0,102626859.0,2018.0,3135000.0,262100.0
Wow Kidz Action,19000000,8281724393.0,1525,Film & Animation,India,IN,26400.0,422800.0,317100.0,5100000.0,28.1,5.36,1366417754.0,471031528.0,2017.0,2708550.0,224600.0
Turma da Mï¿½ï¿½,19000000,13824277846.0,1154,Film & Animation,Brazil,BR,19200.0,307600.0,230700.0,3700000.0,51.3,12.08,212559417.0,183241641.0,2012.0,1965350.0,163400.0
Calvin Harris,19000000,16014044618.0,79,Music,United Kingdom,GB,25600.0,409600.0,307200.0,4900000.0,60.0,3.85,66834405.0,55908316.0,2007.0,2603600.0,217600.0
KBS WORLD TV,19000000,15126092508.0,64496,Entertainment,South Korea,KR,27000.0,432000.0,324000.0,5200000.0,94.3,4.15,51709098.0,42106719.0,2007.0,2762000.0,229500.0
HiMan,18900000,2855519150.0,375,People & Blogs,Russia,RU,6100.0,98300.0,73700.0,1200000.0,81.9,4.59,144373535.0,107683889.0,2014.0,636850.0,52200.0
Little Angel Espaï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,18900000,9813245108.0,719,Education,Mexico,MX,35100.0,561600.0,421200.0,6700000.0,40.2,3.42,126014024.0,102626859.0,2018.0,3560600.0,298350.0
TED-Ed,18800000,3654621568.0,2072,Education,United States,US,7500.0,119500.0,89600.0,1400000.0,88.2,14.7,328239523.0,270663028.0,2011.0,744800.0,63500.0
Sidemen,18800000,5257834105.0,312,Entertainment,United Kingdom,GB,19500.0,312600.0,234500.0,3800000.0,60.0,3.85,66834405.0,55908316.0,2015.0,2017250.0,166050.0
Farruko,18800000,9573641299.0,217,Music,United States,US,24400.0,391000.0,293300.0,4700000.0,88.2,14.7,328239523.0,270663028.0,2009.0,2496650.0,207700.0
ýýýýýýýýýýýýýýýýýýýýýý,18800000,9594188708.0,530,Entertainment,Ukraine,UA,17000.0,272000.0,204000.0,3300000.0,82.7,8.88,44385155.0,30835699.0,2014.0,1752000.0,144500.0
Triggered Insaan,18800000,3276891538.0,304,Comedy,India,IN,27300.0,436100.0,327100.0,5200000.0,28.1,5.36,1366417754.0,471031528.0,2014.0,2763550.0,231700.0
CKN,18700000,12295637162.0,16,Entertainment,Spain,ES,0.03,0.41,0.31,5.0,88.9,13.96,47076781.0,37927409.0,2005.0,2.655,0.21999999999999997
Shemaroo Comedy,18600000,6047584292.0,4487,Entertainment,India,IN,25600.0,409700.0,307300.0,4900000.0,28.1,5.36,1366417754.0,471031528.0,2007.0,2603650.0,217650.0
GRAMMY GOLD OFFICIAL,18600000,20196704276.0,6287,Music,Thailand,TH,42100.0,674400.0,505800.0,8100000.0,49.3,0.75,69625582.0,35294600.0,2014.0,4302900.0,358250.0
ýýýýýýýý ýýýýýýýýýý ýýýýýýýýýý | Arab Games Network,18600000,8761255550.0,6289,Gaming,Saudi Arabia,SA,10800.0,172000.0,129000.0,2100000.0,68.0,5.93,34268528.0,28807838.0,2013.0,1114500.0,91400.0
Dan-Sa / Daniel Saboya,18500000,2908120896.0,1329,Music,Brazil,BR,0.0,0.0,0.0,0.0,51.3,12.08,212559417.0,183241641.0,2007.0,0.0,0.0
Marmok,18500000,3457618361.0,374,Gaming,Russia,RU,9600.0,153100.0,114800.0,1800000.0,81.9,4.59,144373535.0,107683889.0,2008.0,957400.0,81350.0
Like Nastya Vlog,18500000,8147575884.0,493,People & Blogs,Russia,RU,12200.0,195800.0,146800.0,2300000.0,81.9,4.59,144373535.0,107683889.0,2016.0,1223400.0,104000.0
Willie Salim,18500000,4051072188.0,679,People & Blogs,Indonesia,ID,49300.0,789500.0,592100.0,9500000.0,36.3,4.69,270203917.0,151509724.0,2014.0,5046050.0,419400.0
PDK Films,18400000,4120324310.0,111,Entertainment,United States,US,3600.0,57700.0,43300.0,692600.0,88.2,14.7,328239523.0,270663028.0,2009.0,367950.0,30650.0
TheWillyrex,18400000,7038827526.0,6943,Comedy,Spain,ES,2800.0,44000.0,33000.0,528200.0,88.9,13.96,47076781.0,37927409.0,2011.0,280600.0,23400.0
RsiamMusic : ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,18400000,11544297793.0,3159,Music,Thailand,TH,13500.0,216500.0,162400.0,2600000.0,49.3,0.75,69625582.0,35294600.0,2011.0,1381200.0,115000.0
shakiraVEVO,18400000,25367126292.0,197,Music,United States,US,66800.0,1100000.0,801400.0,12800000.0,88.2,14.7,328239523.0,270663028.0,2009.0,6800700.0,583400.0
Naisa Alifia Yuriza (N.A.Y),18300000,1606834186.0,786,People & Blogs,Indonesia,ID,4300.0,68300.0,51200.0,819000.0,36.3,4.69,270203917.0,151509724.0,2017.0,435100.0,36300.0
Miley Cyrus,18300000,7760819588.0,142,Entertainment,United States,US,32000.0,511900.0,383900.0,6100000.0,88.2,14.7,328239523.0,270663028.0,2009.0,3241950.0,271950.0
IShowSpeed,18300000,1556003039.0,1324,Gaming,United States,US,35100.0,561000.0,420800.0,6700000.0,88.2,14.7,328239523.0,270663028.0,2016.0,3560400.0,298050.0
INCRï¿½ï¿,18200000,3213324455.0,6903,People & Blogs,Brazil,BR,4500.0,72200.0,54100.0,866200.0,51.3,12.08,212559417.0,183241641.0,2017.0,460150.0,38350.0
Jake Fellman,18100000,13378360425.0,420,Entertainment,United States,US,124300.0,2000000.0,1500000.0,23900000.0,88.2,14.7,328239523.0,270663028.0,2012.0,12700000.0,1062150.0
GEN HALILINTAR,18100000,3306242674.0,1037,Entertainment,Indonesia,ID,6800.0,109200.0,81900.0,1300000.0,36.3,4.69,270203917.0,151509724.0,2015.0,690950.0,58000.0
SQUEEZIE,18100000,9983065083.0,1521,Gaming,France,FR,12000.0,192400.0,144300.0,2300000.0,65.6,8.43,67059887.0,54123364.0,2011.0,1222150.0,102200.0
Blippi - Educational Videos for Kids,18100000,14857290259.0,707,Education,United States,US,45100.0,721600.0,541200.0,8700000.0,88.2,14.7,328239523.0,270663028.0,2014.0,4620600.0,383350.0
officialpsy,18100000,10703830496.0,131,Music,South Korea,KR,16200.0,260000.0,195000.0,3100000.0,94.3,4.15,51709098.0,42106719.0,2010.0,1647500.0,138100.0
Manual do Mundo,18000000,3980991248.0,2470,Howto & Style,Brazil,BR,13700.0,219100.0,164300.0,2600000.0,51.3,12.08,212559417.0,183241641.0,2006.0,1382150.0,116400.0
How Ridiculous,18000000,9601137077.0,650,Sports,Australia,AU,97800.0,1600000.0,1200000.0,18800000.0,113.1,5.27,25766605.0,21844756.0,2009.0,10000000.0,848900.0
And TV,18000000,15412333005.0,45,Entertainment,United States,US,0.0,0.02,0.01,0.19,88.2,14.7,328239523.0,270663028.0,2006.0,0.1,0.01
Sebastiï¿½ï¿½ï¿½,18000000,10463166404.0,237,News & Politics,United States,US,27700.0,443100.0,332300.0,5300000.0,88.2,14.7,328239523.0,270663028.0,2013.0,2816150.0,235400.0
SonyMusicSouthVEVO,18000000,17921124985.0,5692,Music,United States,US,64400.0,1000000.0,772800.0,12400000.0,88.2,14.7,328239523.0,270663028.0,2014.0,6586400.0,532200.0
TheGrefg,18000000,6404852037.0,3566,Gaming,Spain,ES,11000.0,175300.0,131500.0,2100000.0,88.9,13.96,47076781.0,37927409.0,2012.0,1115750.0,93150.0
David Dobrik,17900000,7176572299.0,536,People & Blogs,United States,US,2200.0,34600.0,26000.0,415200.0,88.2,14.7,328239523.0,270663028.0,2014.0,220600.0,18400.0
KatieAngel,17900000,3841205465.0,982,People & Blogs,United States,US,12900.0,206700.0,155100.0,2500000.0,88.2,14.7,328239523.0,270663028.0,2015.0,1327550.0,109800.0
RobleisIUTU,17900000,5168721499.0,1344,Entertainment,Argentina,AR,6900.0,110200.0,82600.0,1300000.0,90.0,9.79,44938712.0,41339571.0,2013.0,691300.0,58550.0
Lele Pons,17900000,5244917119.0,185,Comedy,United States,US,4600.0,74200.0,55600.0,890300.0,88.2,14.7,328239523.0,270663028.0,2015.0,472950.0,39400.0
Demi Lovato,17900000,6888074944.0,314,Music,United States,US,7300.0,116700.0,87500.0,1400000.0,88.2,14.7,328239523.0,270663028.0,2008.0,743750.0,62000.0
Like Nastya VNM,17900000,9867515979.0,602,Entertainment,Vietnam,VN,21100.0,337900.0,253400.0,4100000.0,28.5,2.01,96462106.0,35332140.0,2019.0,2176700.0,179500.0
Jason Derulo,17900000,9887116267.0,830,Music,United States,US,112000.0,1800000.0,1300000.0,21500000.0,88.2,14.7,328239523.0,270663028.0,2008.0,11400000.0,956000.0
MGC Playhouse,17900000,16174530046.0,1426,Shows,United States,US,25700.0,410500.0,307900.0,4900000.0,88.2,14.7,328239523.0,270663028.0,2009.0,2603950.0,218100.0
Priyal Kukreja,17800000,11057945183.0,772,People & Blogs,India,IN,107800.0,1700000.0,1300000.0,20700000.0,28.1,5.36,1366417754.0,471031528.0,2021.0,11000000.0,903900.0
MSA previously My Story Animated,17800000,8588704539.0,26,Film & Animation,United States,US,5.0,83.0,62.0,994.0,88.2,14.7,328239523.0,270663028.0,2021.0,528.0,44.0
ArianaGrandeVevo,17700000,20115544708.0,178,Music,United States,US,24400.0,389700.0,292300.0,4700000.0,88.2,14.7,328239523.0,270663028.0,2010.0,2496150.0,207050.0
jaanvi patel,17700000,7912733203.0,512,People & Blogs,India,IN,86700.0,1400000.0,1000000.0,16600000.0,28.1,5.36,1366417754.0,471031528.0,2018.0,8800000.0,743350.0
tanboy kun,17700000,3647267655.0,739,People & Blogs,Indonesia,ID,12000.0,192700.0,144500.0,2300000.0,36.3,4.69,270203917.0,151509724.0,2016.0,1222250.0,102350.0
Porta dos Fundos,17700000,7739048000.0,2240,Entertainment,Brazil,BR,8800.0,141300.0,106000.0,1700000.0,51.3,12.08,212559417.0,183241641.0,2012.0,903000.0,75050.0
News 24,17700000,8396875537.0,211620,News & Politics,Ukraine,UA,92700.0,1500000.0,1100000.0,17800000.0,82.7,8.88,44385155.0,30835699.0,2006.0,9450000.0,796350.0
Les' Copaque Production,17700000,9059696049.0,1716,Film & Animation,Malaysia,MY,29400.0,470900.0,353200.0,5700000.0,45.1,3.32,32447385.0,24475766.0,2009.0,3026600.0,250150.0
El Payaso Plim Plim,17700000,17247584185.0,1316,Film & Animation,Argentina,AR,160000.0,2600000.0,1900000.0,30700000.0,90.0,9.79,44938712.0,41339571.0,2013.0,16300000.0,1380000.0
zbing z.,17600000,9269174070.0,3151,Gaming,Thailand,TH,13800.0,220500.0,165400.0,2600000.0,49.3,0.75,69625582.0,35294600.0,2014.0,1382700.0,117150.0
MissaSinfonia,17600000,2274007523.0,233,Comedy,Mexico,MX,6900.0,109800.0,82300.0,1300000.0,40.2,3.42,126014024.0,102626859.0,2011.0,691150.0,58350.0
ýýýýýýýýý Liziqi,17600000,2977741577.0,128,Howto & Style,China,CN,5600.0,89400.0,67100.0,1100000.0,50.6,4.32,1397715000.0,842933962.0,2017.0,583550.0,47500.0
DeGoBooM,17600000,6306204566.0,4702,Gaming,Chile,CL,25100.0,400900.0,300600.0,4800000.0,88.5,7.09,18952038.0,16610135.0,2014.0,2550300.0,213000.0
JFlaMusic,17600000,3802280098.0,326,Music,South Korea,KR,2800.0,44400.0,33300.0,532700.0,94.3,4.15,51709098.0,42106719.0,2011.0,283000.0,23600.0
FactTechz,17500000,2238134438.0,709,Entertainment,India,IN,5300.0,84200.0,63200.0,1000000.0,28.1,5.36,1366417754.0,471031528.0,2016.0,531600.0,44750.0
News18 India,17500000,7263619576.0,182742,News & Politics,India,IN,98500.0,1600000.0,1200000.0,18900000.0,28.1,5.36,1366417754.0,471031528.0,2007.0,10050000.0,849250.0
Fun For Kids TV - Hindi Rhymes,17500000,7612385622.0,149,Entertainment,India,IN,27500.0,439400.0,329500.0,5300000.0,28.1,5.36,1366417754.0,471031528.0,2017.0,2814750.0,233450.0
IGN,17500000,16107116549.0,156215,Gaming,United States,US,24600.0,393400.0,295000.0,4700000.0,88.2,14.7,328239523.0,270663028.0,2006.0,2497500.0,209000.0
Aphmau,17400000,17763586483.0,4411,Gaming,United States,US,110000.0,1800000.0,1300000.0,21100000.0,88.2,14.7,328239523.0,270663028.0,2012.0,11200000.0,955000.0
AMARINTV : ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,17400000,13043561912.0,118448,Entertainment,Thailand,TH,59000.0,944000.0,708000.0,11300000.0,49.3,0.75,69625582.0,35294600.0,2014.0,6004000.0,501500.0
ýýýýýýýýýýýýýýýý - Al-Remas,17400000,11144195464.0,2133,Music,Iraq,IQ,28300.0,452000.0,339000.0,5400000.0,16.2,12.82,39309783.0,27783368.0,2013.0,2869500.0,240150.0
Apple,17300000,1026425106.0,180,Science & Technology,United States,US,11600.0,185900.0,139500.0,2200000.0,88.2,14.7,328239523.0,270663028.0,2005.0,1169750.0,98750.0
Stubborn Facts,17300000,902225615.0,287,Film & Animation,India,IN,209.0,3400.0,2500.0,40200.0,28.1,5.36,1366417754.0,471031528.0,2016.0,21350.0,1804.5
Taarak Mehta Ka Ooltah Chashmah,17300000,11371738047.0,4778,Entertainment,India,IN,83000.0,1300000.0,995800.0,15900000.0,28.1,5.36,1366417754.0,471031528.0,2014.0,8447900.0,691500.0
HowToBasic,17300000,3684816159.0,582,Howto & Style,Australia,AU,3900.0,62100.0,46600.0,745200.0,113.1,5.27,25766605.0,21844756.0,2011.0,395900.0,33000.0
Marques Brownlee,17200000,3606912471.0,1567,Science & Technology,United States,US,13100.0,209300.0,157000.0,2500000.0,88.2,14.7,328239523.0,270663028.0,2008.0,1328500.0,111200.0
Anitta,17200000,7337212581.0,138,Music,Brazil,BR,18200.0,290700.0,218100.0,3500000.0,51.3,12.08,212559417.0,183241641.0,2011.0,1859050.0,154450.0
Jason Vlogs,17200000,8903647480.0,83,Education,Australia,AU,0.01,0.1,0.08,1.0,113.1,5.27,25766605.0,21844756.0,2014.0,0.54,0.055
El Reino a Jugar,17200000,11445492404.0,1007,Education,Argentina,AR,20900.0,334800.0,251100.0,4000000.0,90.0,9.79,44938712.0,41339571.0,2015.0,2125550.0,177850.0
Willyrex,17200000,5024088947.0,7550,Gaming,Spain,ES,3900.0,61600.0,46200.0,739500.0,88.9,13.96,47076781.0,37927409.0,2009.0,392850.0,32750.0
TheBrianMaps,17100000,4448334716.0,498,Comedy,Russia,RU,9300.0,148700.0,111500.0,1800000.0,81.9,4.59,144373535.0,107683889.0,2012.0,955750.0,79000.0
TRANS TV Official,17100000,9710962528.0,148225,Entertainment,Indonesia,ID,11500.0,183200.0,137400.0,2200000.0,36.3,4.69,270203917.0,151509724.0,2014.0,1168700.0,97350.0
Liza Koshy,17100000,2173106162.0,142,Comedy,United States,US,440.0,7000.0,5300.0,84500.0,88.2,14.7,328239523.0,270663028.0,2013.0,44900.0,3720.0
Queen Official,17000000,10847948832.0,1015,Music,United Kingdom,GB,23400.0,375100.0,281300.0,4500000.0,60.0,3.85,66834405.0,55908316.0,2008.0,2390650.0,199250.0
Prajapati News,17000000,1001465469.0,1407,Comedy,India,IN,1900.0,30500.0,22900.0,366100.0,28.1,5.36,1366417754.0,471031528.0,2013.0,194500.0,16200.0
LuisFonsiVEVO,17000000,14543594822.0,97,Music,United States,US,12500.0,199300.0,149500.0,2400000.0,88.2,14.7,328239523.0,270663028.0,2009.0,1274750.0,105900.0
Pop Chartbusters,16900000,8684010451.0,2235,Music,India,IN,18200.0,291600.0,218700.0,3500000.0,28.1,5.36,1366417754.0,471031528.0,2011.0,1859350.0,154900.0
Guava Juice,16900000,9111000228.0,1910,Gaming,United States,US,2700.0,43600.0,32700.0,522600.0,88.2,14.7,328239523.0,270663028.0,2006.0,277650.0,23150.0
EeOneGuy,16900000,3827906874.0,366,Entertainment,United States,US,409.0,6500.0,4900.0,78500.0,88.2,14.7,328239523.0,270663028.0,2013.0,41700.0,3454.5
VICE,16900000,4609753237.0,3900,Entertainment,United States,US,9100.0,145400.0,109100.0,1700000.0,88.2,14.7,328239523.0,270663028.0,2005.0,904550.0,77250.0
Aayu and Pihu Show,16900000,9270331567.0,441,Comedy,India,IN,22400.0,359100.0,269300.0,4300000.0,28.1,5.36,1366417754.0,471031528.0,2017.0,2284650.0,190750.0
Danny Fitt,16900000,9544277833.0,2337,People & Blogs,United States,US,68800.0,1100000.0,825800.0,13200000.0,88.2,14.7,328239523.0,270663028.0,2016.0,7012900.0,584400.0
Bispo Bruno Leonardo,16900000,3523578665.0,4891,Nonprofits & Activism,Brazil,BR,37400.0,598200.0,448600.0,7200000.0,51.3,12.08,212559417.0,183241641.0,2016.0,3824300.0,317800.0
Like Nastya IDN,16800000,7195314800.0,502,Entertainment,Indonesia,ID,10700.0,171300.0,128500.0,2100000.0,36.3,4.69,270203917.0,151509724.0,2019.0,1114250.0,91000.0
Gato Galactico | GALï¿½ï¿,16800000,3693798804.0,1491,Film & Animation,Brazil,BR,11000.0,176500.0,132400.0,2100000.0,51.3,12.08,212559417.0,183241641.0,2013.0,1116200.0,93750.0
CoryxKenshin,16700000,7102965621.0,1693,Gaming,United States,US,26300.0,420500.0,315300.0,5000000.0,88.2,14.7,328239523.0,270663028.0,2009.0,2657650.0,223400.0
With Kids[ï¿½ï¿½ï¿½ï¿½ï,16700000,8826138204.0,920,Entertainment,United States,US,11400.0,182800.0,137100.0,2200000.0,88.2,14.7,328239523.0,270663028.0,2012.0,1168550.0,97100.0
Travis Scott,16700000,7979736581.0,13,Music,United States,US,9.0,150.0,113.0,1800.0,88.2,14.7,328239523.0,270663028.0,2010.0,956.5,79.5
Tu COSMOPOLIS,16700000,5089284369.0,8741,People & Blogs,Mexico,MX,4000.0,64600.0,48400.0,774700.0,40.2,3.42,126014024.0,102626859.0,2014.0,411550.0,34300.0
